,address,bytecode,function_sighashes,is_erc20,is_erc721,block_timestamp,block_number
0,0x4474802a56731bf3066823679223f36d121df7fd,0x6d4946c0e9f43f4dee607b0ef1fa1c3318585733ff,[],False,False,2021-06-15 00:36:08+00:00,12635861
1,0x3949778a4cbe0323737951c825ccd1e476257f84,0x6d4946c0e9f43f4dee607b0ef1fa1c3318585733ff,[],False,False,2020-08-16 04:26:16+00:00,10668946
2,0x0039529794cba90a08ab4372a43f300999567b20,0x73693c188e40f760ecf00d2946ef45260b84fbc43e3318585733ff,[],False,False,2020-08-23 18:44:54+00:00,10718310
3,0x4b34f48d2e6adb8270227d07029464d986bf8cd9,0x6d4946c0e9f43f4dee607b0ef1fa1c3318585733ff,[],False,False,2020-07-10 21:51:37+00:00,10434225
4,0xf446ae21369a1abef37a7c7355dd97b8955ff71c,0x6eb3f879cb30fe243b4dfee438691c043318585733ff,[],False,False,2020-03-16 20:55:36+00:00,9684877
5,0x1e62082567ff2e6f3080fe08c935ee3d0259e7fb,0x6eb3f879cb30fe243b4dfee438691c043318585733ff,[],False,False,2020-03-26 05:20:06+00:00,9745006
6,0x47f4ca95777736465213c714600d03f62461bac6,0x6d4946c0e9f43f4dee607b0ef1fa1c3318585733ff,[],False,False,2021-05-30 03:48:23+00:00,12533403
7,0x380752cc60e8f8986220eff57e5e5be68b0b3242,0x6d4946c0e9f43f4dee607b0ef1fa1c3318585733ff,[],False,False,2020-11-28 20:16:20+00:00,11349177
8,0x12f428386cc41f116fc3feb529bc42dd559ecf4a,0x6080604052600080fd00a265627a7a723058204db7b4c23d84c45bc6bfca313e9bf687bc7d21aece12952499166b478d5fb0496c6578706572696d656e74616cf50037,[],False,False,2020-07-11 20:14:53+00:00,10440337
9,0xcd5a03356df29afc8d092e21be9993f3747cb0ff,0x6e051666bbfbb42925c3ee5d50cf6b103318585733ff,[],False,False,2021-06-15 04:38:42+00:00,12636941
10,0x41b6cad47c13d0c9184e0570d0e05206a9e7cf6a,0x60806040523615801560115750600034115b156082573373ffffffffffffffffffffffffffffffffffffffff16347f606834f57405380c4fb88d1f4850326ad3885f014bab3b568dfbf7a041eef7386000366040518080602001828103825284848281815260200192508082843760405192018290039550909350505050a360a8565b6000543660008037600080366000845af43d6000803e80801560a3573d6000f35b3d6000fd5b0000a165627a7a7230582009ad600070879c5d9739059132e69cc1b5b90d2b945f553b3f45ceea43d65c8f0029,[],False,False,2020-01-12 00:00:55+00:00,9262736
